annee,budget,casting_principal,director,duree,genre,langue,nbre_vote,nombre_vote,pays,pegi,popularite_score,release_date_france,scenaristes,score,title
TV Movie,No budget,"Danny J. Boyle,Shannon Latimer,Stars",Danny J. Boyle,TV-PG,"Comedy,Romance",English,,528,Canada,2021,No Popularity Score,"February 16, 2021",Danny J. Boyle,6.1,A Whirlwind Wedding
1998,"$85,000,000 (estimated)","Vincent Ward,Richard Matheson,Ron Bass",Vincent Ward,1h 53m,"Drama,Fantasy,Romance",English,,114K,"United States,New Zealand",PG-13,"2,542","December 2, 1998",Vincent Ward,7.0,What Dreams May Come
Video,No budget,"Dean Covell,Borce Damcevski,Murray Cook",Dean Covell,TV-Y,"Short,Family,Music",English,,54,Australia,1997,No Popularity Score,,Dean Covell,7.8,The Wiggles: Wiggly Wiggly Christmas
Video,No budget,"Chisholm McTavish,Murray Cook,Anthony Field",Chisholm McTavish,47m,"Family,Music",English,,42,Australia,2000,No Popularity Score,,Chisholm McTavish,8.6,"The Wiggles: Wiggly, Wiggly World!"
Video,No budget,"Tim Finlay,Murray Cook,Anthony Field",Tim Finlay,G,"Short,Family,Music",English,,121,Australia,1994,No Popularity Score,,Tim Finlay,6.8,The Wiggles: Yummy Yummy
Music Video,No budget,"Sonny Bono,Cher,Sonny & Cher",Sonny Bono,3m,"Short,Music",English,,64,United States,1965,No Popularity Score,,Sonny Bono,7.0,Sonny & Cher: I Got You Babe
2011,No budget,"Zdenek Miler,Writers,Ivan Klíma",Zdenek Miler,0,Animation,No Language,,26,"Finland,Czech Republic",1h 14m,No Popularity Score,,Zdenek Miler,7.4,Täältä tulee Myyrä
1914,No budget,"Harold M. Shaw,Charles Dickens,Harold M. Shaw",Harold M. Shaw,0,"Drama,Short","None,English",,103,United Kingdom,22m,No Popularity Score,,Harold M. Shaw,5.5,A Christmas Carol
Video,No budget,"Mark Manos,Patrick J. Clifton,Stars",Mark Manos,PG,"Action,Adventure,Family",English,,173,"United States,Romania",1996,No Popularity Score,,Mark Manos,5.5,Josh Kirby: Time Warrior! Chap. 4: Eggs from 70 Million B.C.
2008,€500 (estimated),"Patrick Dorner,Patrick Dorner,Patrick Dorner",Patrick Dorner,0,"Short,Horror",English,,0,Austria,7m,No Popularity Score,,Patrick Dorner,0.0,Zombie Evolution
1904,No budget,No Casting,No Director,0,"Documentary,Short",,,98,United States,2m,No Popularity Score,,No Writers,5.4,"Panoramic View, Aisle B, Westinghouse Works"
1981,No budget,"Gösta Werner,Gösta Werner,Erland Josephson",Gösta Werner,0,"Documentary,Biography",Swedish,,68,Sweden,1h 5m,No Popularity Score,,Gösta Werner,6.7,Victor Seastrom
1919,No budget,"Abel Gance,Abel Gance,Stars",Abel Gance,2h 46m,"Drama,Horror,War",French,,2K,France,Not Rated,No Popularity Score,"April 25, 1919",Abel Gance,7.7,J'accuse!
1989,No budget,"Sergey Debizhev,Sergey Debizhev,Sergey Debizhev",Sergey Debizhev,0,"Documentary,Short",Russian,,0,Soviet Union,37m,No Popularity Score,,Sergey Debizhev,0.0,Zolotoy son
Video,No budget,"Christopher M. Mole,David Boelke,Stars",Christopher M. Mole,40m,"Documentary,Short",English,,0,United States,1993,No Popularity Score,,Christopher M. Mole,0.0,Street Fighter II: Mastering Great Combinations and Strategies
1909,No budget,"D.W. Griffith,Frank E. Woods,Stars",D.W. Griffith,0,"Short,Western","None,English",,417,United States,14m,No Popularity Score,,D.W. Griffith,5.8,The Redman's View
TV Movie,No budget,"Danièle Huillet,Jean-Marie Straub,Stars",Danièle Huillet,40m,Documentary,"English,Italian,German",,20,Italy,1985,No Popularity Score,,Danièle Huillet,6.2,Proposta in quattro parti
1947,No budget,"Richard Fleischer,Richard Fleischer,Stars",Richard Fleischer,0,"Documentary,Short",English,,0,United States,10m,No Popularity Score,,Richard Fleischer,0.0,"Flicker Flashbacks No. 2, Series 5"
1913,No budget,"Louis Feuillade,Marcel Allain,Louis Feuillade",Louis Feuillade,54m,"Crime,Drama","None,French",,2.5K,France,Not Rated,No Popularity Score,"May 9, 1913",Louis Feuillade,6.9,Fantômas: In the Shadow of the Guillotine
Video,"$35,000 (estimated)","Bryan Cooper,Bryan Cooper,Maria Ciaccia",Bryan Cooper,12m,"Short,History",English,,8,United States,2008,No Popularity Score,,Bryan Cooper,5.6,Ty & Loretta: Sweethearts of the Silver Screen
1915,No budget,"Louis Feuillade,Louis Feuillade,Stars",Louis Feuillade,7h 1m,"Action,Adventure,Crime","None,French,English",,5.4K,France,Not Rated,No Popularity Score,"November 13, 1915",Louis Feuillade,7.3,Les vampires
1945,No budget,"Henry King,Lamar Trotti,Norman Reilly Raine",Henry King,1h 43m,"Drama,War","English,Italian",,859,United States,Approved,No Popularity Score,"August 25, 1950",Henry King,6.7,A Bell for Adano
1959,No budget,"Valerio Zurlini,Valerio Zurlini,Suso Cecchi D'Amico",Valerio Zurlini,0,"Drama,Romance,War",Italian,,1.9K,"Italy,France",1h 38m,No Popularity Score,"July 5, 1963",Valerio Zurlini,7.3,Violent Summer
TV Movie,No budget,"Mitsuaki Arai,Zenzô Matsuyama,Yukiko Nabae",Mitsuaki Arai,1h 30m,"Crime,Drama",Japanese,,0,Japan,2005,No Popularity Score,,Mitsuaki Arai,0.0,Herupâ Haruko no sennyûki: Nani ga haha wo sôsaseta!?
1958,"PLN 6,070,000 (estimated)","Andrzej Wajda,Writers,Jerzy Andrzejewski",Andrzej Wajda,1h 43m,"Drama,Romance,War",Polish,,13K,Poland,Not Rated,No Popularity Score,"November 6, 1959",Andrzej Wajda,7.7,Ashes and Diamonds
TV Movie,No budget,"Alessandro Cane,Alessandro Cane,Beppe Fenoglio",Alessandro Cane,1h 30m,Drama,Italian,,0,Italy,1982,No Popularity Score,,Alessandro Cane,0.0,Una questione privata
1975,No budget,"Nando Cicero,Tito Carpi,Francesco Milizia",Nando Cicero,0,Comedy,Italian,,883,Italy,1h 29m,No Popularity Score,"March 8, 1978",Nando Cicero,4.9,The School Teacher
1954,No budget,"Guy Hamilton,J.B. Priestley,Desmond Davis",Guy Hamilton,1h 20m,"Crime,Drama,Mystery",English,,5.2K,United Kingdom,Approved,No Popularity Score,"March 18, 1955",Guy Hamilton,7.5,An Inspector Calls
1983,No budget,"Nagisa Ôshima,Nagisa Ôshima,Paul Mayersberg",Nagisa Ôshima,2h 3m,"Drama,War","English,Japanese",,20K,"United Kingdom,New Zealand,Japan",R,No Popularity Score,"May 11, 1983",Nagisa Ôshima,7.2,Merry Christmas Mr. Lawrence
2012,"$15,000,000 (estimated)","Martin McDonagh,Martin McDonagh,Stars",Martin McDonagh,1h 50m,"Comedy,Crime","English,Vietnamese",,273K,"United Kingdom,United States",R,"2,260","January 30, 2013",Martin McDonagh,7.1,Seven Psychopaths
1987,No budget,"Sergio Corbucci,Writers,Mario Amendola",Sergio Corbucci,0,Comedy,Italian,,779,Italy,3h 30m,No Popularity Score,,Sergio Corbucci,4.8,Rimini Rimini
TV Special,No budget,"Louis J. Horvitz,Penelope Spheeris,Writers",Louis J. Horvitz,3h 30m,News,English,,1.1K,United States,2003,No Popularity Score,,Louis J. Horvitz,6.5,The 75th Annual Academy Awards
1976,No budget,"Tinto Brass,Writers,Ennio De Concini",Tinto Brass,2h 9m,"Drama,War","Italian,German",,5K,"Italy,France,West Germany",X,No Popularity Score,"June 23, 1976",Tinto Brass,5.4,Madam Kitty
1970,No budget,"Luis Buñuel,Julio Alejandro,Luis Buñuel",Luis Buñuel,1h 39m,Drama,Spanish,,13K,"Spain,Italy,France",PG-13,No Popularity Score,"April 24, 1970",Luis Buñuel,7.4,Tristana
2002,No budget,"Toshi Fujiwara,Stars,Amos Gitai",Toshi Fujiwara,0,Documentary,"English,Hebrew,French",,22,"France,Japan,Israel",1h 30m,No Popularity Score,,Toshi Fujiwara,4.9,"Independence: Around the Film 'Kedma', a Film by Amos Gitai"
2019,No budget,"Gavin Hood,Writers,Sara Bernstein",Gavin Hood,1h 52m,"Biography,Crime,Drama","English,Mandarin",,54K,"United Kingdom,United States",R,"3,739","January 2, 2020",Gavin Hood,7.3,Official Secrets
2002,No budget,"Amos Gitai,Writers,Amos Gitai",Amos Gitai,0,"Drama,History,War","Hebrew,Arabic,German,Polish,Russian,Yiddish",,787,"France,Israel,Italy",1h 40m,No Popularity Score,"May 16, 2002",Amos Gitai,6.1,Kedma
2007,No budget,"Quentin Tarantino,Quentin Tarantino,Stars",Quentin Tarantino,2h 7m,"Action,Thriller",English,,313K,United States,R,558,"May 22, 2007",Quentin Tarantino,7.0,Death Proof
1952,No budget,"Willy Rozier,Willy Rozier,Stars",Willy Rozier,0,"Adventure,Music,Romance","French,Spanish",,456,France,1h 16m,No Popularity Score,"December 26, 1952",Willy Rozier,5.4,The Girl in the Bikini
2009,"€2,850,000 (estimated)","Yannick Dahan,Benjamin Rocher,Writers",Yannick Dahan,1h 30m,"Action,Horror","French,Czech",,16K,France,Not Rated,No Popularity Score,"January 28, 2010",Yannick Dahan,5.9,The Horde
2006,"€25,320,000 (estimated)","Francis Veber,Francis Veber,Stars",Francis Veber,1h 25m,"Comedy,Drama",French,,11K,"France,Italy,Belgium",PG-13,No Popularity Score,"March 29, 2006",Francis Veber,6.6,The Valet
1969,"ITL 445,000,000 (estimated)","Lucio Fulci,Writers,Roberto Gianviti",Lucio Fulci,1h 48m,"Horror,Mystery,Thriller","English,Italian",,2.7K,"Italy,France,Spain",R,No Popularity Score,"August 21, 1970",Lucio Fulci,6.6,One on Top of the Other
2007,No budget,"Eduardo Escorel,Stars,Gal Costa",Eduardo Escorel,0,Documentary,Portuguese,,14,Brazil,1h 24m,No Popularity Score,,Eduardo Escorel,7.4,Deixa Que Eu Falo
TV Special,No budget,"Louis J. Horvitz,Writers,Carla Filisha",Louis J. Horvitz,0,No kind,English,,78,United States,1995,No Popularity Score,,Louis J. Horvitz,7.7,The 47th Annual Primetime Emmy Awards
Video Game,No budget,"Dominic Cianciolo,Writers,Brian Chard",Dominic Cianciolo,M,"Action,Adventure,Fantasy",English,,4.8K,United States,2015,No Popularity Score,,Dominic Cianciolo,8.2,Mortal Kombat X
Video,No budget,"Stars,Stig Asmussen,Cory Barlog",Stars,13m,"Documentary,Short",English,,0,United States,2005,No Popularity Score,,Stars,0.0,The Making of God of War
Video Game,No budget,No Casting,No Director,0,No kind,English,,0,United States,2006,No Popularity Score,,No Writers,0.0,Jampack Vol. 14
Video Game,No budget,"David Jaffe,Victor Voron,Greg Tiernan",David Jaffe,M,"Action,Adventure,Fantasy",English,,12K,United States,2005,No Popularity Score,"June 22, 2005",David Jaffe,9.0,God of War
Video Game,No budget,"Jens Matthies,Erik Granström,Jens Matthies",Jens Matthies,M,Action,English,,13,United States,2020,No Popularity Score,,Jens Matthies,7.4,Wolfenstein: Alt History Collection
1974,No budget,"Stars,The Beatles,George Harrison",Stars,0,"Documentary,Short,Music",English,,26,United States,17m,No Popularity Score,,Stars,6.6,Braverman's Condensed Cream of the Beatles
Video Game,No budget,"Andrew Prokhorov,Mark Ivanir,Yuri Lowenthal",Andrew Prokhorov,M,"Action,Adventure,Horror","English,Spanish",,314,"Ukraine,United States",2014,No Popularity Score,,Andrew Prokhorov,8.2,Metro Redux
Video Game,No budget,"Ed Boon,Dominic Cianciolo,Writers",Ed Boon,T,"Action,Adventure,Fantasy",English,,7.1K,United States,2013,No Popularity Score,,Ed Boon,8.0,Injustice: Gods Among Us
Video Game,No budget,"Tom Hall,Writers,John Carmack",Tom Hall,M,"Action,Adventure,Sci-Fi","English,German",,2.3K,United States,1992,No Popularity Score,,Tom Hall,8.0,Wolfenstein 3D
Video Game,No budget,No Casting,No Director,Not Rated,"Action,Adventure,Sci-Fi","Japanese,English",,75,Japan,1990,No Popularity Score,,No Writers,6.4,Snake's Revenge
1968,No budget,"Vernon P. Becker,Vernon P. Becker,Stars",Vernon P. Becker,0,Documentary,English,,44,United States,1h 33m,No Popularity Score,,Vernon P. Becker,5.4,Buster Keaton: The Great Stone Face
Video Game,No budget,"Hideo Kojima,Hideo Kojima,Dennis Falt",Hideo Kojima,E,"Action,Adventure,Sci-Fi",Japanese,,1.4K,Japan,1987,No Popularity Score,,Hideo Kojima,7.8,Metal Gear
Video Game,No budget,"Stars,Alan McInally,Stefano Nava",Stars,E,Sport,English,,1.4K,Canada,2014,No Popularity Score,,Stars,7.1,FIFA 15
Video Game,No budget,"Hideo Kojima,Hideo Kojima,Hideo Kojima",Hideo Kojima,E,"Action,Adventure,Sci-Fi",Japanese,,1.2K,Japan,1990,No Popularity Score,,Hideo Kojima,8.2,Metal Gear 2: Solid Snake
2017,No budget,"Aaron Katz,Aaron Katz,Stars",Aaron Katz,1h 33m,"Crime,Drama,Mystery",English,,5.6K,United States,R,No Popularity Score,"October 1, 2018",Aaron Katz,5.4,Gemini
1999,"$10,500,000 (estimated)","Roger Kumble,Choderlos de Laclos,Roger Kumble",Roger Kumble,1h 37m,"Drama,Romance","English,Vietnamese,French",,205K,United States,R,"1,029","June 23, 1999",Roger Kumble,6.8,Cruel Intentions
2020,No budget,"Julien Leclercq,Julien Leclercq,Jérémie Guez",Julien Leclercq,1h 20m,"Action,Crime,Drama",French,,2.9K,"France,Belgium",TV-MA,No Popularity Score,"April 17, 2020",Julien Leclercq,5.2,Earth and Blood
TV Special,No budget,"Joel Gallen,Writers,Tommy Cody",Joel Gallen,0,News,English,,369,United States,2006,No Popularity Score,,Joel Gallen,5.2,2006 MTV Movie Awards
Video,No budget,"Greg Carson,Stars,Ben Gazzara",Greg Carson,11m,"Documentary,Short",English,,0,United States,2009,No Popularity Score,,Greg Carson,0.0,Ben Gazzara Remembers the Strange One
1923,No budget,"Buster Keaton,Edward F. Cline,Buster Keaton",Buster Keaton,20m,"Short,Comedy","None,English",,2.6K,United States,Unrated,No Popularity Score,"June 6, 1924",Buster Keaton,6.8,The Love Nest
1957,No budget,"Jack Garfein,Writer,Calder Willingham",Jack Garfein,1h 40m,"Drama,Film-Noir",English,,1.4K,United States,Approved,No Popularity Score,"January 10, 1958",Jack Garfein,6.9,The Strange One
1980,"$350,000 (estimated)","William Lustig,Writers,C.A. Rosenberg",William Lustig,1h 27m,"Crime,Drama,Horror",English,,20K,United States,18+,No Popularity Score,"May 10, 1980",William Lustig,6.4,Maniac
2019,No budget,"Fernando Frias,Fernando Frias,Stars",Fernando Frias,1h 52m,Drama,"Spanish,English",,9.4K,"Mexico,United States",TV-MA,No Popularity Score,"May 27, 2020",Fernando Frias,7.3,I'm No Longer Here
1999,"$30,000 (estimated)","Lynne Ramsay,Lynne Ramsay,Stars",Lynne Ramsay,1h 34m,Drama,English,,12K,"United Kingdom,France",Not Rated,No Popularity Score,"May 13, 1999",Lynne Ramsay,7.5,Ratcatcher
1976,"$400,000 (estimated)","Rene Daalder,Rene Daalder,Stars",Rene Daalder,1h 27m,"Drama,Horror,Thriller",English,,2.7K,United States,R,No Popularity Score,"January 11, 1978",Rene Daalder,6.1,Massacre at Central High
2001,"$50,000,000 (estimated)","Baz Luhrmann,Baz Luhrmann,Craig Pearce",Baz Luhrmann,2h 7m,"Drama,Musical,Romance","English,French,Spanish",,299K,"Australia,United States",PG-13,"1,113","May 9, 2001",Baz Luhrmann,7.6,Moulin Rouge!
Music Video,No budget,"Adam Yauch,Stars,Beastie Boys",Adam Yauch,6m,Music,English,,131,United States,1998,No Popularity Score,,Adam Yauch,7.1,Beastie Boys: Body Movin'
1974,No budget,"Barbet Schroeder,Barbet Schroeder,Idi Amin",Barbet Schroeder,1h 32m,Documentary,"English,Swahili,French",,2K,"France,Switzerland",Not Rated,No Popularity Score,"May 22, 1974",Barbet Schroeder,7.4,General Idi Amin Dada: A Self Portrait
Video,No budget,"Andy Kim,Ray Lee,Flint Dille",Andy Kim,Not Rated,"Animation,Action,Sci-Fi",English,,509,United States,1986,No Popularity Score,,Andy Kim,7.8,Transformers: Five Faces of Darkness
2011,"$30,000,000 (estimated)","Chris Gorak,Writers,Jon Spaihts",Chris Gorak,1h 29m,"Action,Adventure,Horror","English,Russian",,64K,"Russia,United States",PG-13,No Popularity Score,"January 11, 2012",Chris Gorak,4.9,The Darkest Hour
Video,No budget,"John Dirlam,John Dirlam",John Dirlam,0,Documentary,English,,0,United States,2019,No Popularity Score,,John Dirlam,0.0,Sacred Earth and Restless Souls with John Dirlam
Video,No budget,"Peter Coyote,Peter Coyote",Peter Coyote,0,"Documentary,Short",English,,0,United States,2019,No Popularity Score,,Peter Coyote,0.0,Dead in Birmingham: Peter Coyote on 'Slayground'
Video,No budget,"Eric Notarnicola,Writers,Tim Heidecker",Eric Notarnicola,2h 23m,Comedy,English,,92,No Country,2018,No Popularity Score,,Eric Notarnicola,8.4,The Fifth Annual 'On Cinema' Oscar Special
2018,"$36,000,000 (estimated)","Bradley Cooper,Writers,Eric Roth",Bradley Cooper,2h 16m,"Drama,Music,Romance","English,French",,418K,United States,R,910,"October 3, 2018",Bradley Cooper,7.6,A Star Is Born
2002,No budget,"Rajat Mukherjee,Writer,Rajnish Thakur",Rajat Mukherjee,0,Thriller,Hindi,,1.4K,India,2h 14m,No Popularity Score,,Rajat Mukherjee,5.7,Road
2019,"€5,300,000 (estimated)","Fernando González Molina,Luiso Berdejo,Dolores Redondo",Fernando González Molina,2h 1m,"Crime,Thriller","Spanish,English,Basque",,10K,"Spain,Germany",TV-MA,No Popularity Score,"April 17, 2020",Fernando González Molina,6.4,The Legacy of the Bones
1994,No budget,"Bigas Luna,Writers,Cuca Canals",Bigas Luna,1h 30m,"Comedy,Romance","Catalan,Spanish,French",,3.4K,"Spain,France",R,No Popularity Score,"March 29, 1995",Bigas Luna,6.3,The Tit and the Moon
1997,No budget,"Agnieszka Arnold,Agnieszka Arnold,Stars",Agnieszka Arnold,0,"Documentary,Biography",Polish,,17,Poland,57m,No Popularity Score,,Agnieszka Arnold,6.7,Bareizm
1973,No budget,"Kazimierz Karabasz,Kazimierz Karabasz,Kazimierz Karabasz",Kazimierz Karabasz,0,"Documentary,Short,Biography",Polish,,25,Poland,33m,No Popularity Score,,Kazimierz Karabasz,7.5,Krystyna M.
1989,No budget,"Andrzej Brzozowski,Andrzej Brzozowski,Andrzej Wajda",Andrzej Brzozowski,1h,"Documentary,Biography",Polish,,0,"Poland,West Germany",Not Rated,No Popularity Score,,Andrzej Brzozowski,0.0,Andrzej Wajda - A portrait
2014,"$3,300,000 (estimated)","Damián Szifron,Julian Loyola,Damián Szifron",Damián Szifron,2h 2m,"Comedy,Drama,Thriller",Spanish,,215K,"Argentina,Spain,France,United Kingdom",R,"1,966","May 17, 2014",Damián Szifron,8.1,Wild Tales
Video,No budget,"J.S. Cardone,Robert Sullivan,Dylan Tarason",J.S. Cardone,R,"Mystery,Thriller","English,Hungarian",,5K,"United States,Hungary",2005,No Popularity Score,"January 4, 2006",J.S. Cardone,4.5,8MM 2
TV Special,No budget,"Louis J. Horvitz,Writers,Ellen DeGeneres",Louis J. Horvitz,0,No kind,English,,89,United States,1994,No Popularity Score,,Louis J. Horvitz,7.2,The 46th Annual Primetime Emmy Awards
Video,No budget,"Stars,Andy Ackerman,Jason Alexander",Stars,23m,"Documentary,Short",English,,79,United States,2004,No Popularity Score,,Stars,7.7,Kramer vs. Kramer: Kenny to Cosmo
1965,No budget,"Bud Yorkin,Writer,Sumner Arthur Long",Bud Yorkin,1h 45m,Comedy,English,,544,United States,Not Rated,No Popularity Score,"March 31, 1967",Bud Yorkin,6.5,Never Too Late
TV Movie,No budget,"Jean Kerchbron,Magdeleine Paz,Robert Louis Stevenson",Jean Kerchbron,0,No kind,French,,0,France,1975,No Popularity Score,"April 3, 1975",Jean Kerchbron,0.0,Voyage avec un âne dans les Cévennes
2020,"€3,570,000 (estimated)","Caroline Vignal,Caroline Vignal,Robert Louis Stevenson",Caroline Vignal,0,"Adventure,Comedy,Romance",French,,3.7K,"France,Belgium",1h 36m,No Popularity Score,"January 17, 2020",Caroline Vignal,6.5,"My Donkey, My Lover & I"
1955,"$1,780,000 (estimated)","Henry King,Otto Lang,John Patrick",Henry King,1h 42m,"Biography,Drama,Romance","English,Mandarin",,5.4K,United States,Approved,No Popularity Score,"May 30, 1956",Henry King,6.4,Love Is a Many-Splendored Thing
2009,"$4,300,000 (estimated)","Rachel Ward,Rachel Ward,Newton Thornburg",Rachel Ward,1h 40m,"Drama,Mystery",English,,4.1K,Australia,R,No Popularity Score,"October 14, 2010",Rachel Ward,6.6,Beautiful Kate
1963,No budget,"Francisco Regueiro,Francisco Regueiro,Stars",Francisco Regueiro,0,Drama,"Spanish,French",,132,Spain,1h 30m,No Popularity Score,May 1963,Francisco Regueiro,7.1,El buen amor
2016,No budget,"Fabien Onteniente,Writers,Franck Dubosc",Fabien Onteniente,0,"Comedy,Drama",French,,1.1K,"France,Belgium",1h 45m,No Popularity Score,"June 7, 2016",Fabien Onteniente,4.4,Camping 3
1977,"£130,000 (estimated)","David Wickes,Ranald Graham,Ian Kennedy Martin",David Wickes,0,"Action,Crime,Drama",English,,1.6K,United Kingdom,1h 38m,No Popularity Score,"October 18, 1978",David Wickes,6.7,Sweeney!
TV Movie,No budget,"Stars,Ty Quiamboa,Terry McFadden",Stars,0,Drama,English,,46,United States,1994,No Popularity Score,,Stars,8.6,One Life to Live
TV Movie,No budget,"Anthony Pullen Shaw,J. Michael Straczynski,Stars",Anthony Pullen Shaw,TV-PG,"Crime,Drama,Mystery",English,,939,United States,2000,No Popularity Score,"January 30, 2001",Anthony Pullen Shaw,7.1,"Murder, She Wrote: A Story to Die For"
1985,"FRF 25,000,000 (estimated)","Maurice Pialat,Writers,Catherine Breillat",Maurice Pialat,0,"Crime,Drama,Romance","French,Arabic",,3K,France,1h 53m,No Popularity Score,"September 4, 1985",Maurice Pialat,6.5,Police
2005,"$55,000,000 (estimated)","Robert Schwentke,Peter A. Dowling,Billy Ray",Robert Schwentke,1h 38m,"Drama,Mystery,Thriller","English,French,German,Arabic,Italian,Japanese",,171K,United States,PG-13,"4,963","November 9, 2005",Robert Schwentke,6.3,Flightplan
2015,No budget,"Robert Fischer,Robert Fischer,Christopher Knopf",Robert Fischer,0,"Documentary,Short",English,,0,Germany,24m,No Popularity Score,,Robert Fischer,0.0,The Tall Writer: Christopher Knopf on 'The Tall Stranger'
1942,"$643,000 (estimated)","Vincent Sherman,Writers,Leonard Spigelgass",Vincent Sherman,1h 47m,"Action,Comedy,Crime","English,German",,4.9K,United States,Approved,No Popularity Score,"December 14, 1949",Vincent Sherman,7.1,All Through the Night
1941,No budget,"Noel M. Smith,Charles L. Tedford,Harry Sauber",Noel M. Smith,57m,"Comedy,Romance",English,,159,United States,Approved,No Popularity Score,,Noel M. Smith,6.3,Here Comes Happiness
Video Game,No budget,"Stars,Kurt Angle,Retesh Bhalla",Stars,T,"Action,Sport",English,,136,United States,2008,No Popularity Score,,Stars,6.1,TNA iMPACT!
TV Movie,No budget,"Catalina Molina,Stefan Hafner,Nikolaus Leytner",Catalina Molina,TV-14,Crime,German,,218,Austria,2016,No Popularity Score,,Catalina Molina,6.2,Landkrimi: Drachenjungfrau
TV Movie,No budget,"Christian Faure,Mikaël Ollivier,Franck Thilliez",Christian Faure,TV-14,"Crime,Drama,Mystery",French,,163,France,2019,No Popularity Score,"August 30, 2019",Christian Faure,5.0,Troubled Waters
1993,No budget,"Stephen Quay,Timothy Quay,Stephen Quay",Stephen Quay,0,"Animation,Short",English,,588,United Kingdom,3m,No Popularity Score,"August 16, 1993",Stephen Quay,6.8,Stille Nacht IV: Can't Go Wrong Without You
1993,No budget,"Stephen Quay,Timothy Quay,Weiser Quay",Stephen Quay,3m,"Animation,Short",No Language,,533,United Kingdom,Not Rated,No Popularity Score,June 1993,Stephen Quay,6.3,Tales from Vienna Woods: Stille Nacht III.
Video,No budget,"Writers,Molly Hodgdon,Conor Lastowka",Writers,0,Comedy,English,,46,United States,2017,No Popularity Score,,Writers,6.9,RiffTrax: Star Games
Video,No budget,"Michael J. Nelson,Bill Corbett,Kevin Murphy",Michael J. Nelson,0,Comedy,English,,29,United States,2020,No Popularity Score,,Michael J. Nelson,7.2,Rifftrax: Beaks!
2004,No budget,"Abner Pastoll,Kamma Pastoll,Abner Pastoll",Abner Pastoll,1h 27m,"Thriller,Mystery",English,,31,United Kingdom,Not Rated,No Popularity Score,,Abner Pastoll,7.6,Shooting Shona
2006,"$20,000,000 (estimated)","Shûsuke Kaneko,Tsugumi Ôba,Takeshi Obata",Shûsuke Kaneko,2h 6m,"Crime,Drama,Fantasy",Japanese,,32K,Japan,Not Rated,No Popularity Score,"January 9, 2008",Shûsuke Kaneko,7.5,Death Note
Video,No budget,"John Carchietta,Carl Morano,Stars",John Carchietta,Unrated,"Documentary,Short",English,,30,United States,2007,No Popularity Score,,John Carchietta,7.3,The Cult of Ichi
1963,No budget,"Harry Kerwin,Writers,Arthur A. Ross",Harry Kerwin,0,"Documentary,Comedy,Family",English,,81,United States,2h 1m,No Popularity Score,"March 13, 1964",Harry Kerwin,6.8,Funny Side of Life
1984,"£1,162,000 (estimated)","Wim Wenders,L.M. Kit Carson,Sam Shepard",Wim Wenders,2h 25m,Drama,"English,Spanish",,118K,"West Germany,France,United Kingdom,United States",R,"1,436","May 19, 1984",Wim Wenders,8.1,"Paris, Texas"
2023,No budget,"Rémi Bezançon,Writers,Vanessa Portal",Rémi Bezançon,0,Comedy,French,,268,"France,Belgium",1h 35m,No Popularity Score,"August 9, 2023",Rémi Bezançon,5.7,Paint It Gold
2001,No budget,"Richard Linklater,Richard Linklater,Stars",Richard Linklater,1h 39m,"Animation,Drama,Fantasy",English,,67K,United States,R,No Popularity Score,"February 23, 2021",Richard Linklater,7.7,Waking Life
Video,No budget,"Andy Kimpton-Nye,Stars,Howard Schuman",Andy Kimpton-Nye,5m,Short,English,,12,United Kingdom,2004,No Popularity Score,,Andy Kimpton-Nye,5.8,Memories of: Elephant
1997,No budget,"Nadia Tass,David Parker,Stars",Nadia Tass,1h 44m,"Drama,Music","English,Spanish",,818,Australia,PG-13,No Popularity Score,"April 5, 2000",Nadia Tass,6.7,Amy
1984,No budget,"Derek Hart,Derek Hart,Derek Hart",Derek Hart,0,Documentary,English,,20,United States,1h 20m,No Popularity Score,,Derek Hart,7.8,Backstage at the Kirov
2017,No budget,"Ric Roman Waugh,Ric Roman Waugh,Stars",Ric Roman Waugh,2h 1m,"Crime,Drama,Thriller",English,,97K,United States,R,782,"December 15, 2017",Ric Roman Waugh,7.3,Shot Caller
1981,"$12,500,000 (estimated)","Jean-Jacques Annaud,Gérard Brach,J.H. Rosny Sr.",Jean-Jacques Annaud,1h 40m,"Adventure,Drama","None,French",,24K,"Canada,France",R,"4,823","December 16, 1981",Jean-Jacques Annaud,7.3,Quest for Fire
2011,"$750,000 (estimated)","Jennifer Siebel Newsom,Writers,Jacoba Atlas",Jennifer Siebel Newsom,1h 25m,Documentary,English,,3.9K,United States,Not Rated,No Popularity Score,,Jennifer Siebel Newsom,7.5,Miss Representation
1988,"$70,000,000 (estimated)","Robert Zemeckis,Writers,Jeffrey Price",Robert Zemeckis,1h 44m,"Animation,Adventure,Comedy",English,,216K,"United States,Canada,Japan,Australia",PG,"1,437","October 18, 1988",Robert Zemeckis,7.7,Who Framed Roger Rabbit
1988,"£1,800,000 (estimated)","Mike Leigh,Mike Leigh,Stars",Mike Leigh,1h 48m,"Comedy,Drama","German,English",,5.8K,United Kingdom,PG,No Popularity Score,September 1990,Mike Leigh,7.4,High Hopes
1940,No budget,"Jack Hively,Leslie Charteris,Lynn Root",Jack Hively,1h 9m,"Crime,Mystery",English,,795,United States,Approved,No Popularity Score,"August 9, 1948",Jack Hively,6.5,The Saint Takes Over
