actors,director,entrees_fr,entrees_usa,image_urls,nationalite,semaine_fr,semaine_usa,studio,timing,title,titre_original
"Yassir Drief,Alexandra Lamy,Youssef Hajdi","Eric Barbier,Jennifer Devoldere,Eric Barbier",84934,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/12/07/11/14/0974154.jpg,france,08/02/2023 au 15/02/2023,,snd,0,"zodi et téhu, frères du désert",pas de titre original
"Taraneh Alidoosti,Navid Mohammadzadeh,Payman Maadi","Saeed Roustaee,Saeed Roustaee",41242,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/07/15/12/26/5249527.jpg,iran,24/08/2022 au 31/08/2022,,wild bunch distribution,0,leila et ses frères,leila's brothers
"Anaïs Demoustier,Tom Mercier,Béatrice Dalle","Patric Chiha,Patric Chiha,Axelle Ropert",9056,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/30/10/58/4389327.jpg,france,16/08/2023 au 23/08/2023,,les films du losange,0,la bête dans la jungle,pas de titre original
"Hugo Trophardy,Guillaume De Tonquédec,Anne Marivin","Pascal Bourdiaux,Mathias Gavarry",361350,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/05/23/16/02/2237554.jpg,france,02/08/2023 au 9/08/2023,,snd,0,les blagues de toto 2 - classe verte,pas de titre original
"Eugénie Derouand,Honorine Magnier,Clément Olivieri","Patrick Ridremont,Patrick Ridremont",27119,,https://fr.web.img6.acsta.net/c_310_420/pictures/20/10/20/11/04/3400869.jpg,france,01/12/2021 au 8/12/2021,,alba films,0,le calendrier,pas de titre original
"Dev Patel,Alicia Vikander,Joel Edgerton","David Lowery,David Lowery",6784000,,https://fr.web.img4.acsta.net/c_310_420/pictures/21/06/16/10/11/5985880.jpg,u.s.a.,2021/08/2021 au 2/08/2021,,,0,the green knight,pas de titre original
"Sandra Drzymalska,Tomasz Organek,Mateusz Kosciukiewicz","Jerzy Skolimowski,Ewa Piaskowska,Jerzy Skolimowski",47210,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/10/12/15/46/1046208.jpg,pologne,19/10/2022 au 26/10/2022,,arp sélection,0,eo,pas de titre original
"Vadim Agid,Lola Andreoni,Mathieu Berger","Barthélémy Grossmann,Luc Besson",121393,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/05/13/10/46/3487391.jpg,france,29 juin au 6 juillet 2022,,apollo films,0,"arthur, malédiction",pas de titre original
"Alexandre N'Guyen,Megumi Ogata,Alice Orsat","Sung-ho Park,Hiroshi Seko",347583,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/02/16/12/44/0721822.png,japon,16/03/2022 au 23/03/2022,,cgr events,0,jujutsu kaisen 0,gekijouban jujutsu kaisen 0
"Oumaïma Barid,Mehdi Dehbi,Fouad Oughaou","Sofia Alaoui,Sofia Alaoui",5023,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/05/15/09/1350147.jpg,france,09/08/2023 au 16/08/2023,,ad vitam,0,animalia,pas de titre original
"Patrick Hivon,Monia Chokri,Nadia Tereszkiewicz","Monia Chokri,Catherine Léger",8556,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/03/10/14/22/2940716.jpg,canada,27 avril au 4 mai 2022,,bac films,0,babysitter,pas de titre original
"Sara Forestier,Laetitia Dosch,Pierre Lottin","Nine Antico,Nine Antico,Marc Syrigas",16168,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/05/12/17/50/4319552.jpg,france,02/06/2021 au 9/06/2021,,kmbo,0,playlist,pas de titre original
"Ariela Barer,Kristine Frøseth,Lukas Gage","Daniel Goldhaber,Daniel Goldhaber,Ariela Barer",12617,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/16/15/11/0970773.jpg,u.s.a.,26 juillet au 2 août 2023,,tandem,0,sabotage,how to blow up a pipeline
"Betty Gilpin,Hilary Swank,Wayne Duvall","Craig Zobel,Damon Lindelof,Nick Cuse",19864,,https://fr.web.img2.acsta.net/c_310_420/pictures/20/06/04/09/51/3368193.jpg,u.s.a.,24 juin au 1 juillet 2020,,universal pictures international france,0,the hunt,pas de titre original
"Pierfrancesco Favino,Francesco Di Leva,Tommaso Ragno","Mario Martone,Mario Martone,Ippolita di Majo",66577,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/11/29/12/17/0778314.jpg,italie,04/01/2023 au 11/01/2023,,arp sélection,0,nostalgia,pas de titre original
"Maren Eggert,Dan Stevens,Sandra Hüller","Maria Schrader,Maria Schrader,Jan Schomburg",16932,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/03/28/16/12/2041994.jpg,allemagne,22/06/2022 au 29/06/2022,,haut et court,0,i’m your man,ich bin dein mensch
"Priyanka Chopra Jonas,Sam Heughan,Céline Dion","Jim Strouse,Jim Strouse",36242,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/04/14/13/50/3006482.jpg,u.s.a.,07/06/2023 au 14/06/2023,,sony pictures releasing france,0,"love again : un peu, beaucoup, passionnément",love again
"Benjamin Lavernhe,Sara Giraudeau,Julia Piaton","Laurent Tirard,Laurent Tirard",121740,,https://fr.web.img6.acsta.net/c_310_420/pictures/20/11/20/14/01/1694027.jpg,france,09/06/2021 au 16/06/2021,,le pacte,0,le discours,pas de titre original
"Juliette Jouan,Raphaël Thiéry,Noémie Lvovsky","Pietro Marcello,Pietro Marcello,Maurizio Braucci",14978,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/12/01/17/37/1183261.jpg,france,11/01/2023 au 18/01/2023,,le pacte,0,l'envol,pas de titre original
"Alfred Ekker Strande,Mattis Herman Nyquist,Ola G. Furuseth","Henrik Martin Dahlsbakken,Mattis Herman Nyquist,Gine Cornelia Pedersen",6375,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/11/15/16/25/3814101.jpg,norvège,20/12/2023 au 27/12/2023,,kinovista,0,munch,pas de titre original
"Woody Harrelson,Kaitlin Olson,Matt Cook (II)","Bobby Farrelly,Mark Rizzo",5148740,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/02/27/09/25/2532473.jpg,u.s.a.,10/03/2023 au 13/03/2023,,,0,champions,pas de titre original
"Penélope Cruz,Vincenzo Amato,Luana Giuliani","Emanuele Crialese,Emanuele Crialese,Francesca Manieri",91906,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/10/27/17/15/0569934.jpg,italie,11/01/2023 au 18/01/2023,,pathé,0,l'immensita,l'immensità
"Vojtěch Dyk,Barbara Ronchi,Elena Radonicich","Petr Vaclav,Petr Vaclav",34803,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/04/24/15/54/1128024.jpg,république tchèque,21/06/2023 au 28/06/2023,,nour films,0,il boemo,pas de titre original
"Josephine Langford,Hero Fiennes Tiffin,Dylan Sprouse","Roger Kumble,Anna Todd,Mario Celaya",420000,,https://fr.web.img4.acsta.net/c_310_420/pictures/20/11/25/16/18/0204755.jpg,u.s.a.,23/10/2020 au 26/10/2020,,,0,after - chapitre 2,after we collided
"Fanny Ardant,Nawid Elham,Elisabeth Margoni","Benoit Cohen,Benoit Cohen,Eléonore Pourriat",14595,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/09/01/16/51/0222069.jpg,france,20/12/2023 au 27/12/2023,,pan distribution,0,ma france à moi,pas de titre original
"Caitriona Balfe,Jamie Dornan,Jude Hill","Kenneth Branagh,Kenneth Branagh",80551,,https://fr.web.img6.acsta.net/c_310_420/o_club-allocine-2024-310x420.png_0_se/pictures/22/01/10/15/33/4192632.jpg,grande-bretagne,02/03/2022 au 9/03/2022,,universal pictures international france,0,belfast,pas de titre original
"Pablo Pauly,Romain Eck,Hafsia Herzi","Florent Gouëlou,Florent Gouëlou",15360,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/08/31/10/14/1163944.jpg,france,09/11/2022 au 16/11/2022,,pyramide distribution,0,trois nuits par semaine,pas de titre original
"Liam Neeson,Diane Kruger,Jessica Lange","Neil Jordan,William Monahan,Neil Jordan",54242,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/01/19/17/00/3192192.jpg,irlande,15/02/2023 au 22/02/2023,,metropolitan filmexport,0,marlowe,pas de titre original
"Camélia Jordana,Niels Schneider,Vincent Macaigne","Emmanuel Mouret,Emmanuel Mouret",77092,,https://fr.web.img6.acsta.net/c_310_420/pictures/20/09/16/12/34/0353850.jpg,france,16/09/2020 au 23/09/2020,,pyramide distribution,0,"les choses qu’on dit, les choses qu’on fait",pas de titre original
"Rebecca Marder,André Marcon,Anthony Bajon","Sandrine Kiberlain,Sandrine Kiberlain",68056,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/01/05/11/53/3535032.jpg,france,26 janvier au 2 février 2022,,ad vitam,0,une jeune fille qui va bien,pas de titre original
"François Berléand,Kacey Mottet Klein,Maria Ribot","Delphine Lehericey,Delphine Lehericey",18534,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/09/14/16/50/2786070.jpg,suisse,20/09/2023 au 27/09/2023,,epicentre films,0,last dance !,pas de titre original
"Clara Gostynski,Alexei Evstratov,Monika Stalder","Cyril Schäublin,Cyril Schäublin",3609,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/03/08/10/44/4682345.jpg,suisse,12/04/2023 au 19/04/2023,,shellac,0,désordres,unrueh
"Thierry Lhermitte,Michèle Laroque,Nicole Ferroni","Fabrice Bracq,Guillaume Clicquot",477116,,https://fr.web.img6.acsta.net/c_310_420/pictures/19/08/08/13/40/0488542.jpg,france,20/11/2019 au 27/11/2019,,snd,0,joyeuse retraite !,pas de titre original
"Noomi Rapace,Hilmir Snær Guðnason,Björn Hlynur Haraldsson","Valdimar Jóhannsson,Valdimar Jóhannsson, Sjón",13930,,https://fr.web.img4.acsta.net/c_310_420/pictures/21/11/18/17/35/1913093.jpg,islande,2021/01/2022 au 5/01/2022,,the jokers / les bookmakers,0,lamb,pas de titre original
"Max Gomis,Jean-Baptiste Anoumon,Steve Tientcheu","Cédric Ido,Cédric Ido",10324,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/11/08/08/55/3341240.jpg,france,03/05/2023 au 10/05/2023,,alba films / trésor cinéma,0,la gravité,pas de titre original
"Jacob Lohmann,Simon Sears,Michael Brostrup","Anders Ølholm,Frederik Louis Hviid,Anders Ølholm,Frederik Louis Hviid",4927,,https://fr.web.img4.acsta.net/c_310_420/pictures/21/03/01/10/11/4091293.jpg,danemark,23/06/2021 au 30/06/2021,,alba films,0,shorta,pas de titre original
"Jovan Ginic,Jasna Djuricic,Miodrag Jovanović","Vladimir Perišić,Alice Winocour,Vladimir Perišić",4831,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/09/08/15/21/4579452.jpg,france,11/10/2023 au 18/10/2023,,rezo films,0,lost country,pas de titre original
"Colin Firth,Matthew Macfadyen,Kelly Macdonald","John Madden,Michelle Ashford",127930,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/03/28/09/02/0736585.jpg,grande-bretagne,27 avril au 4 mai 2022,,warner bros. france,0,la ruse,operation mincemeat
"Nicolas Gob,Michaël Abiteboul,Bilal El Atreby","Cédric Le Gallo,Maxime Govare,Cédric Le Gallo,Maxime Govare",69481,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/02/11/11/44/5121695.jpg,france,13/04/2022 au 20/04/2022,,universal pictures international france,0,la revanche des crevettes pailletées,pas de titre original
"Elliott Crosset Hove,Ingvar Eggert Sigurôsson,Victoria Carmen Sonne","Hlynur Pálmason,Hlynur Pálmason",35205,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/11/23/17/27/5954733.jpg,danemark,21/12/2022 au 28/12/2022,,jour2fête,0,godland,vanskabte land - volaða land
"Sarah Suco,Jean-Pierre Darroussin,Oussama Kheddam","Alexandre Castagnetti,Alexandre Castagnetti,Béatrice Fournera",117941,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/07/25/14/33/1057741.jpg,france,26 octobre au 2 novembre 2022,,ugc distribution,0,l'école est à nous,pas de titre original
"Maisie Williams,Anya Taylor-Joy,Charlie Heaton","Josh Boone,Josh Boone,Knate Lee",160373,,https://fr.web.img6.acsta.net/c_310_420/pictures/20/08/12/15/17/5486144.jpg,u.s.a.,26 août au 2 septembre 2020,,the walt disney company france,0,les nouveaux mutants,the new mutants
"Anita Schultz-Moszkowski,Charles Calhanas,Didier Moreira","Jean-Louis Cros,Jean-Louis Cros",29,,https://fr.web.img3.acsta.net/c_310_420/pictures/24/01/30/14/14/1040954.jpg,france,27 mars au 3 avril 2024,,cinéma saint-andré des arts,0,la lettre (voyage au pays d’avant #me-too -2),pas de titre original
"Javier Bardem,Manolo Solo,Almudena Amor","Fernando León de Aranoa,Fernando León de Aranoa",57333,,https://fr.web.img6.acsta.net/c_310_420/pictures/24/02/09/11/46/4649988.jpg,espagne,22/06/2022 au 29/06/2022,,paname distribution,0,el buen patrón,pas de titre original
"Kad Merad,Fatsah Bouyahmed,Oulaya Amamra","Mohamed Hamidi,Mohamed Hamidi,Alain-Michel Blanc",57538,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/07/04/11/04/5478802.jpg,france,14/09/2022 au 21/09/2022,,apollo films,0,citoyen d'honneur,pas de titre original
"Vicky Krieps,Gaspard Ulliel,Bjorn Floberg","Emily Atef,Emily Atef,Lars Hubrich",21203,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/10/24/16/14/2737227.jpg,france,16/11/2022 au 23/11/2022,,jour2fête,0,plus que jamais,pas de titre original
"Lambert Wilson,Pauline Brunner,Michel Lerousseau","Julien Chheng,Jean-Christophe Roger (II),Guillaume Mautalent,Sébastien Oursel",171967,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/06/07/10/49/1920881.jpg,france,14/12/2022 au 21/12/2022,,studiocanal,0,ernest et célestine : le voyage en charabie,pas de titre original
"Roman Frayssinet, Djimo,Ludivine Sagnier","Mouloud Achour,Dominique Baumard,Mouloud Achour,Dominique Baumard",77098,,https://fr.web.img5.acsta.net/c_310_420/pictures/21/08/27/15/59/5323172.jpg,france,08/09/2021 au 15/09/2021,,le pacte,0,les méchants,pas de titre original
"Brune Moulin,Philippe Katerine,Pierre Richard","Victoria Bedos,Victoria Bedos,Louis Pénicaut",64016,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/03/03/08/44/1879589.jpg,france,19/04/2023 au 26/04/2023,,universal pictures international france,0,la plus belle pour aller danser,pas de titre original
"Emilio Sakraya,Mona Pirzad,Hussein Eliraqui","Fatih Akın,Fatih Akın",11672,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/05/23/11/13/1693617.jpg,allemagne,28 juin au 5 juillet 2023,,pathé,0,rheingold,pas de titre original
"Grégoire Ludig,David Marsais,Julien Pestel","Jonathan Barré,Jonathan Barré,Grégoire Ludig",179006,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/01/06/14/57/5684025.jpg,france,09/02/2022 au 16/02/2022,,gaumont distribution,0,les vedettes,pas de titre original
"Aboubakr Bensaihi,Lubna Azabal,Tara Abboud","Adil El Arbi,Bilall Fallah,Adil El Arbi,Bilall Fallah",17454,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/07/27/09/42/3106545.jpg,belgique,31 août au 7 septembre 2022,,bac films,0,rebel,pas de titre original
"Pili Groyne,Romane Bohringer,Victoire Du Bois","Julie Lerat-Gersant,François Roy (III),Julie Lerat-Gersant,François Roy (III)",12466,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/01/13/11/52/5457464.jpg,france,22 février au 1 mars 2023,,haut et court,0,petites,pas de titre original
"José Garcia,André Dussollier,Capucine Valmary","Anne Le Ny,Anne Le Ny",153920,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/09/08/17/00/1731932.jpg,france,30 novembre au 7 décembre 2022,,snd,0,le torrent,pas de titre original
"Zita Hanrot,Sami Bouajila,Céline Sallette","Farid Bentoumi,Farid Bentoumi,Samuel Doux",35011,,https://fr.web.img2.acsta.net/c_310_420/pictures/20/10/02/11/44/2165670.jpg,france,11/08/2021 au 18/08/2021,,ad vitam,0,rouge,pas de titre original
"Karin Viard,Darren Muselet,Samir Guesmi","Sylvie Audcoeur,Sylvie Audcoeur,Anna Fregonese",9062,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/02/24/15/04/5123509.jpg,france,23/03/2022 au 30/03/2022,,memento distribution,0,une mère,pas de titre original
"Benjamin Lavernhe,Julia Piaton,Bruno Todeschini","Emilie Frèche,Emilie Frèche,Gaëlle Macé",19609,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/09/16/10/15/1351080.jpg,france,16/11/2022 au 23/11/2022,,tandem,0,les engagés,pas de titre original
"Laurent Lafitte,Karin Viard,Vincent Macaigne","Laurent Lafitte,Laurent Lafitte",117938,,https://fr.web.img5.acsta.net/c_310_420/pictures/20/09/29/11/02/3537838.jpg,france,15/09/2021 au 22/09/2021,,studiocanal,0,l'origine du monde,pas de titre original
"Russell Crowe,Caren Pistorius,Gabriel Bateman","Derrick Borte,Carl Ellsworth",144754,,https://fr.web.img6.acsta.net/c_310_420/pictures/20/06/17/13/34/4725610.jpg,u.s.a.,19/08/2020 au 26/08/2020,,snd,0,enragé,unhinged
"Fanny Ardant,Melvil Poupaud,Cécile de France","Carine Tardieu,Carine Tardieu,Agnès De Sacy",152312,,https://fr.web.img3.acsta.net/c_310_420/pictures/21/12/13/13/06/1726313.jpg,france,02/02/2022 au 9/02/2022,,diaphana distribution,0,les jeunes amants,pas de titre original
"Alexander Skarsgård,Mia Goth,Cleopatra Coleman","Brandon Cronenberg,Brandon Cronenberg",2514364,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/01/09/11/14/0132842.jpg,canada,27/01/2023 au 30/01/2023,,1 nomination,0,infinity pool,pas de titre original
"Stephen Graham,Vinette Robinson,Alice May Feetham","Philip Barantini,Philip Barantini,James Cummings",24140,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/12/08/16/16/3730129.jpg,grande-bretagne,19/01/2022 au 26/01/2022,,ufo distribution,0,the chef,boiling point
"Alícia Falcó,Elena Tarrats,Itziar Ituño","Silvia Munt,Silvia Munt,Jorge Gil Munárriz",911,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/08/31/16/30/1356519.jpg,espagne,18/10/2023 au 25/10/2023,,damned distribution,0,en bonne compagnie,las buenas compañías
"Zhou Dongyu,Liu Haoran,Chuxiao Qu","Anthony Chen,Anthony Chen",12843,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/10/12/12/48/4159958.jpg,chine,22/11/2023 au 29/11/2023,,nour films,0,un hiver à yanji,ran dong
"Pierre Deladonchamps,Laetitia Dosch,Grégory Montel","Gilles Perret,Gilles Perret,Marion Richoux",39242,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/09/08/17/33/1299105.jpg,france,19/10/2022 au 26/10/2022,,jour2fête,0,reprise en main,pas de titre original
"Pierre Richard,Eddy Mitchell,Bernard Le Coq","Christophe Duthuron,Wilfrid Lupano,Paul Cauuet",148172,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/06/24/11/32/2252222.jpg,france,17/08/2022 au 24/08/2022,,apollo films / orange studio,0,les vieux fourneaux 2 : bons pour l’asile,pas de titre original
"Denis Podalydès,Sergi López,Noémie Lvovsky","Noémie Lvovsky,Noémie Lvovsky,Florence Seyvos",47867,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/12/15/15/06/3467752.jpg,france,08/02/2023 au 15/02/2023,,ad vitam,0,la grande magie,pas de titre original
"Melha Bedia,Audrey Fleurot,François Berléand","Frédéric Quiring,Frédéric Quiring",168103,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/06/07/10/05/1812220.jpg,france,10/08/2022 au 17/08/2022,,ugc distribution,0,la très très grande classe,pas de titre original
"Irène Ismailoff,Patrick Dross,Matthieu Moerlen","Laurent Firode,Laurent Firode",283,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/07/22/15/57/0063257.jpg,france,26 octobre au 2 novembre 2022,,bon voyage films,0,le monde d'après,pas de titre original
"Gal Gadot,Chris Pine,Kristen Wiig","Patty Jenkins,Patty Jenkins,Geoff Johns",16700000,,https://fr.web.img2.acsta.net/c_310_420/pictures/20/12/07/17/38/1866668.jpg,u.s.a.,25/12/2020 au 28/12/2020,,warner bros. france,0,wonder woman 1984,pas de titre original
"Pierre Niney,Sam Rockwell,Igor Gotesman","Pierre Perifel,Etan Cohen,Hilary Winston",259472,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/01/19/15/01/1022416.jpg,u.s.a.,06/04/2022 au 13/04/2022,,universal pictures international france,0,les bad guys,the bad guys
"Reda Kateb,Lyna Khoudri,Raphaël Personnaz","Rachid Bouchareb,Kaouther Adimi,Rachid Bouchareb",37490,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/09/21/08/21/3585629.jpg,france,07/12/2022 au 14/12/2022,,le pacte,0,nos frangins,pas de titre original
"Elisabeth Moss,Oliver Jackson-Cohen,Harriet Dyer","Leigh Whannell,Leigh Whannell",349741,,https://fr.web.img4.acsta.net/c_310_420/pictures/20/02/10/13/26/1423227.jpg,u.s.a.,26 février au 4 mars 2020,,universal pictures international france,0,invisible man,
"Nicholas Hoult,Nicolas Cage, Awkwafina","Chris McKay,Ryan Ridley",25984,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/04/12/15/21/2905338.jpg,u.s.a.,31 mai au 7 juin 2023,,universal pictures international france,0,renfield,pas de titre original
"Annabelle Lengronne,Stéphane Bak,Kenzo Sambin","Léonor Serraille,Léonor Serraille",18993,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/12/28/14/51/1596290.jpg,france,01/02/2023 au 8/02/2023,,diaphana distribution,0,un petit frère,pas de titre original
"Vanessa Paradis,Ewan Bourdelles,Noah Zandouche","Hugo P. Thomas,Hugo P. Thomas,Jules Lugan",6943,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/29/14/46/1069982.jpg,france,26 juillet au 2 août 2023,,the jokers / les bookmakers,0,juniors,pas de titre original
"Kad Merad,David Ayala,Lamine Cissokho","Emmanuel Courcol,Emmanuel Courcol,Thierry de Carbonnières",143968,,https://fr.web.img2.acsta.net/c_310_420/pictures/21/07/07/09/57/0322072.jpg,france,01/09/2021 au 8/09/2021,,memento distribution,0,un triomphe,pas de titre original
"Aliocha Reinert,Antoine Reinartz,Mélissa Olexa","Samuel Theis,Samuel Theis",33148,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/01/31/14/52/4036985.jpg,france,09/03/2022 au 16/03/2022,,ad vitam,0,petite nature,pas de titre original
"Alex Lutz,André Dussollier,Laura Sepul",Quentin Reynaud,20637,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/01/26/14/35/1941862.jpg,france,08/03/2023 au 15/03/2023,,apollo films,0,en plein feu,pas de titre original
"Oscar Isaac,Tiffany Haddish,Tye Sheridan","Paul Schrader,Paul Schrader",29051,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/11/18/15/22/0526271.jpg,u.s.a.,2021/01/2022 au 5/01/2022,,condor distribution,0,the card counter,pas de titre original
"Sophie Marceau,André Dussollier,Géraldine Pailhas","François Ozon,François Ozon",100494,,https://fr.web.img2.acsta.net/c_310_420/pictures/21/08/25/12/32/1518766.jpg,france,22/09/2021 au 29/09/2021,,diaphana distribution,0,tout s'est bien passé,pas de titre original
"Deepika Padukone,Hrithik Roshan,Anil Kapoor","Siddharth Anand,Ramon Chibb",2338,,https://fr.web.img4.acsta.net/c_310_420/pictures/24/01/08/09/03/0606692.jpg,inde,24/01/2024 au 31/01/2024,,friday entertainment,0,fighter,pas de titre original
"Elio Germano,Barbara Chichiarelli,Lino Musella","Fabio D'Innocenzo,Damiano D'Innocenzo,Damiano D'Innocenzo,Fabio D'Innocenzo",2986,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/07/22/13/25/3997615.jpg,italie,13/10/2021 au 20/10/2021,,le pacte,0,storia di vacanze,favolacce
"Jonathan Majors,Glen Powell,Christina Jackson","J.D. Dillard,Jake Crane,Jonathan Stewart (II)",5902803,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/08/02/11/11/0828439.jpg,u.s.a.,25/11/2022 au 28/11/2022,,,0,devotion,pas de titre original
"Idris Elba,Sharlto Copley,Iyana Halley","Baltasar Kormákur,Ryan Engle",116929,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/08/01/09/09/2162188.jpg,u.s.a.,24/08/2022 au 31/08/2022,,universal pictures international france,0,beast,pas de titre original
"Lou Jean,Ana Esther Alborg,Roser Aldabó Arnau","Juan Jesús García Galocha,Jordi Gasull,Javier López Barreira",168937,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/01/05/15/42/0230478.jpg,espagne,08/02/2023 au 15/02/2023,,warner bros. france,0,sacrées momies,moomios
"Jim Carrey,Emmanuel Curtil,James Marsden","Jeff Fowler,Patrick Casey,Josh Miller (LVIII)",749372,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/03/14/15/39/4137538.jpg,u.s.a.,30 mars au 6 avril 2022,,paramount pictures france,0,sonic 2 le film,sonic the hedgehog 2
"Kevin Costner,Diane Lane,Lesley Manville","Thomas Bezucha,Thomas Bezucha",10884,,https://fr.web.img4.acsta.net/c_310_420/pictures/20/12/04/11/52/4442435.jpg,u.s.a.,16/06/2021 au 23/06/2021,,universal pictures international france,0,l'un des nôtres,let him go
"Kelvin Harrison Jr.,Taylor Russell,Sterling K. Brown","Trey Edward Shults,Trey Edward Shults",1283,,https://fr.web.img2.acsta.net/c_310_420/pictures/20/01/06/16/06/1879658.jpg,u.s.a.,29 janvier au 5 février 2020,,universal pictures international france,0,waves,pas de titre original
"Sol Miranda (II),Lucas Andrade,Lorena Comparato","Júlia Murat,Gabriela Capello,Rafael Lessa",513,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/04/13/08/38/2241389.jpg,brésil,07/06/2023 au 14/06/2023,,wayna pitch,0,règle 34,rule 34
"Virginie Efira,Tahar Rahim,Alain Chamfort","Serge Bozon,Serge Bozon,Axelle Ropert",8500,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/04/22/15/27/0524270.jpg,france,18/05/2022 au 25/05/2022,,arp sélection,0,don juan,pas de titre original
"Sophie Marceau,Johan Heldenbergh,Cristina Flutur","Jean Paul Civeyrac,Jean Paul Civeyrac",13090,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/08/03/16/24/2726174.jpg,france,05/10/2022 au 12/10/2022,,rezo films,0,une femme de notre temps,pas de titre original
"Grégoire Ludig,Jean-Paul Rouve,Michel Blanc","Julien Guetta,Julien Guetta,Lionel Dutemple",51550,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/11/28/16/42/3979479.jpg,france,11/01/2023 au 18/01/2023,,jour2fête,0,les cadors,pas de titre original
"Philippe Bozo,Laurent Morteau,Pascal Casanova","Laurent Bru,Yannick Moulin,Benoit Somville,David Alaux,Eric Tosti",262703,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/06/19/12/03/5714427.jpg,france,16/08/2023 au 23/08/2023,,snd,0,les as de la jungle 2 - opération tour du monde,pas de titre original
"Paul Belhoste,Mathys Clodion-Gines,Aymé Medeville","Pierre Salvadori,Pierre Salvadori,Benoît Graffin",45538,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/06/02/11/36/1686393.jpg,france,20/07/2022 au 27/07/2022,,gaumont distribution,0,la petite bande,pas de titre original
"Naomi Ackie,Stanley Tucci,Tamara Tunie","Kasi Lemmons,Anthony McCarten",64834,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/09/16/10/05/3510640.jpg,u.s.a.,21/12/2022 au 28/12/2022,,sony pictures releasing france,0,whitney houston : i wanna dance with somebody,whitney houston: i wanna dance with somebody
