titre,score,nbre_vote,genres,langue,pays,pegi,duree,annee,popularite_score,director,scenaristes,casting_principal,casting_complet,budget
American Nightmare 5: Sans limites,"5,4",43 k,"['Action', 'Policier', 'Horreur']","['Anglais', 'Espagnol']","['États-Unis', 'Mexique']",12 avec avertissement,1h 43min,2021,4 438,Everardo Gout,Everardo Gout,"['Everardo Gout', 'Scénario', 'James DeMonaco']","['Ana de la Reguera', 'Tenoch Huerta', 'Josh Lucas', 'Leven Rambin', 'Cassidy Freeman', 'Alejandro Edda', 'Will Patton', 'Will Brittain', 'Sammi Rotibi', 'Zahn McClarnon', 'Gary Nohealii', 'Gregory Zaragoza', 'Brett Edwards', 'Joe Nin Williams', 'Dan Mast', 'Carol Cantu', 'Keenan Henson', 'Kacey Montoya']",18 000 000 $US (estimé)
La liste de Schindler,"9,0","1,4 M","['Biographique', 'Drame', 'Historique']","['Anglais', 'Hébreu', 'Allemand', 'Polonais', 'Latin']",['États-Unis'],Tous publics,3h 15min,1993,182,Steven Spielberg,Steven Spielberg,"['Steven Spielberg', 'Thomas Keneally', 'Steven Zaillian']","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz', 'Malgorzata Gebel', 'Shmuel Levy', 'Mark Ivanir', 'Béatrice Macola', 'Andrzej Seweryn', 'Friedrich von Thun', 'Krzysztof Luft', 'Harry Nehring', 'Norbert Weisser', 'Adi Nitzan', 'Michael Schneider', 'Miri Fabian']",22 000 000 $US (estimé)
Supernova,"4,8",19 k,"['Horreur', 'Science-fiction', 'Thriller']",['Anglais'],['États-Unis'],Tous publics,1h 30min,2000,['No Popularity Score'],Walter Hill,Walter Hill,"['Walter Hill', 'Francis Ford Coppola', 'Jack Sholder']","['James Spader', 'Peter Facinelli', 'Robin Tunney', 'Angela Bassett', 'Robert Forster', 'Lou Diamond Phillips', 'Wilson Cruz', 'Eddy Rice Jr.', 'Knox White', 'Kerrigan Mahan', 'Vanessa Marshall', 'Kevin Sizemore']",90 000 000 $US (estimé)
Le nid du tigre,"5,8",436,"['Aventure', 'Drame']",['Anglais'],['Italie'],1h 34min,0,2022,['No Popularity Score'],Brando Quilici,Brando Quilici,"['Brando Quilici', 'Brando Quilici', 'Hugh Hudson']","['Claudia Gerini', 'Sunny Pawar', 'Amandeep Singh', 'Shi Yang Shi', 'Yoon C. Joyce', 'Samir Gurung', 'Legyaan Thapa', 'Bhumika Tharu', 'Loonibha Tuladhar']",['No budget']
Titre non trouvé,0,0,['No kind'],['No Language'],['No Country'],No Pegi,0,0,['No Popularity Score'],['No Director'],['No Writers'],['No Casting'],['No Casting'],['No budget']
Marry Me,"6,1",42 k,"['Comédie', 'Musical', 'Romantique']","['Anglais', 'Espagnol']","['États-Unis', 'Chine', 'Japon']",Tous publics,1h 52min,2022,2 689,Kat Coiro,Kat Coiro,"['Kat Coiro', 'Scénario', 'John Rogers']","['Jennifer Lopez', 'Owen Wilson', 'Maluma', 'John Bradley', 'Sarah Silverman', 'Chloe Coleman', 'Michelle Buteau', 'Khalil Middleton', 'Kat Cunning', 'Taliyah Whitaker', 'Diego Lucano', 'Brady Noon', 'Connor Noon', 'Ryan Foust', 'Léah Jiménez Zelaya', 'Tristan-Lee Edwards', 'Scarlett Earls', 'Olivia Chun']",23 000 000 $US (estimé)
Snake Eyes,"5,4",44 k,"['Action', 'Aventure', 'Policier']",['Anglais'],['États-Unis'],Tous publics avec avertissement,2h 1min,2021,4 397,Robert Schwentke,Robert Schwentke,"['Robert Schwentke', 'Scénario', 'Evan Spiliotopoulos']","['Henry Golding', 'Andrew Koji', 'Haruka Abe', 'Takehiro Hira', 'Eri Ishida', 'Iko Uwais', 'Peter Mensah', 'Úrsula Corberó', 'Samara Weaving', 'Samuel Finzi', 'Steven Allerick', 'Max Archibald', 'Simon Chin', 'Derrick de Villiers', 'Kento Matsunami', 'James Hiroyuki Liao', 'Kenji Tanigaki', 'Dean Muhtadi']",88 000 000 $US (estimé)
Chute libre,"7,6",206 k,"['Action', 'Policier', 'Drame']","['Anglais', 'Espagnol', 'Coréen']","['États-Unis', 'France', 'Royaume-Uni']",12,1h 53min,1993,1 456,Joel Schumacher,Joel Schumacher,"['Joel Schumacher', 'Ebbe Roe Smith', 'Casting principal']","['Michael Douglas', 'Robert Duvall', 'Barbara Hershey', 'Rachel Ticotin', 'Tuesday Weld', 'Frederic Forrest', 'Lois Smith', 'Joey Singer', 'Ebbe Roe Smith', 'Michael Paul Chan', 'Raymond J. Barry', 'D.W. Moffett', 'Steve Park', 'Kimberly Scott', 'James Keane', 'Macon McCalman', 'Richard Montoya', 'Bruce Beatty']",25 000 000 $US (estimé)
"Un an, une nuit","6,4",736,['Drame'],"['Français', 'Espagnol', 'Anglais']","['Espagne', 'France']",Tous publics,2h 10min,2022,['No Popularity Score'],Isaki Lacuesta,Isaki Lacuesta,"['Isaki Lacuesta', 'Scénario', 'Fran Araújo']","['Nahuel Pérez Biscayart', 'Noémie Merlant', 'Quim Gutiérrez', 'Alba Guilera', 'Natalia de Molina', 'C. Tangana', 'Enric Auquer', 'Blanca Apilánez', 'Bruno Todeschini', 'Sophie Broustal', 'Mike F. Pamphile', 'Alex Lebron Torrent', 'Alex Moreu', 'Alexis Le Drean', 'Alix Gentil', 'Andrew Isar', 'Antonio Buíl', 'Arán Cusidó']",['No budget']
Riders of Justice,"7,5",63 k,"['Action', 'Comédie', 'Drame']","['Danois', 'Arabe', 'Estonien']","['Danemark', 'Suède', 'Finlande']",Tous publics,1h 56min,2020,2 088,Anders Thomas Jensen,Anders Thomas Jensen,"['Anders Thomas Jensen', 'Scénario', 'Anders Thomas Jensen']","['Mads Mikkelsen', 'Nikolaj Lie Kaas', 'Andrea Heick Gadeberg', 'Lars Brygmann', 'Nicolas Bro', 'Gustav Lindh', 'Roland Møller', 'Albert Rudbeck Lindhardt', 'Anne Birgitte Lind', 'Omar Shargawi', 'Jacob Lohmann', 'Henrik Noël Olesen', 'Gustav Dyekjær Giese', 'Klaus Hjuler', 'Peder Holm Johansen', 'Christina Ibsen Meyer', 'Rikke Louise Andersson', 'Jesper Ole Feit Andersen']",5 300 000 $US (estimé)
L'histoire de ma femme,"6,2","2,7 k","['Drame', 'Romantique']","['Anglais', 'Français', 'Néerlandais', 'Allemand', 'Italien']","['Hongrie', 'Allemagne', 'France', 'Italie']",Tous publics,2h 49min,2021,['No Popularity Score'],Ildikó Enyedi,Ildikó Enyedi,"['Ildikó Enyedi', 'Ildikó Enyedi', 'Milán Füst']","['Léa Seydoux', 'Gijs Naber', 'Louis Garrel', 'Sergio Rubini', 'Jasmine Trinca', 'Luna Wedler', 'Josef Hader', 'Udo Samel', 'Ulrich Matthes', 'Romane Bohringer', 'Sandor Funtek', 'Nayef Rashed', 'Beniamino Brogi', 'Simone Coppo', 'Herman Gilis', 'Michael Kehr', 'Julia Droste', 'Justus Johanssen']",1 150 000 000 HUF (estimé)
L'esprit de famille,"5,3",259,"['Comédie', 'Drame']",['Français'],['France'],Tous publics,1h 30min,2019,['No Popularity Score'],Éric Besnard,Éric Besnard,"['Éric Besnard', 'Éric Besnard', 'Casting principal']","['Guillaume de Tonquédec', 'François Berléand', 'Josiane Balasko', 'Isabelle Carré', 'Jérémy Lopez', 'Marie-Julie Baup', 'Jules Gauzelin', 'Papi Tokotuu', 'Émilie Caen', 'Hugues Jourdain', 'Sipan Mouradian', 'Christian Valsamidis', 'Adèle Berléand', 'Lucie Berléand']",['No budget']
Les Croods 2: Une nouvelle ère,"6,9",53 k,"['Animation', 'Aventure', 'Comédie']",['Anglais'],"['États-Unis', 'Japon']",Tous publics,1h 35min,2020,4 110,Joel Crawford,Joel Crawford,"['Joel Crawford', 'Scénario', 'Kevin Hageman']","['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds', 'Catherine Keener', 'Cloris Leachman', 'Clark Duke', 'Leslie Mann', 'Peter Dinklage', 'Kelly Marie Tran', 'Kailey Crawford', 'Chris Sanders', 'James Ryan', 'Gabriel Jack', 'Melissa Disney', 'Joel Crawford', 'Januel Mercado', 'Ryan Naylor', 'Artemis Pebdani']",65 000 000 $US (estimé)
Seize printemps,"5,8","1,2 k","['Drame', 'Romantique']",['Français'],['France'],Tous publics,1h 13min,2020,['No Popularity Score'],Suzanne Lindon,Suzanne Lindon,"['Suzanne Lindon', 'Suzanne Lindon', 'Casting principal']","['Suzanne Lindon', 'Arnaud Valois', 'Frédéric Pierrot', 'Florence Viala', 'Rebecca Marder', 'Arturo Giusi', 'Pauline Rugo', 'Dominique Besnehard', 'Philippe Uchan', 'Françoise Widhoff', 'Raymond Aquaviva', 'Valentin Brekke', 'Louise Milot', 'Michael Perez', 'Damien Carlet']",['No budget']
Kung Fu Zohra,"5,4",651,"['Action', 'Drame']",['Français'],"['France', 'Belgique']",Tous publics,1h 40min,2022,['No Popularity Score'],Mabrouk El Mechri,Mabrouk El Mechri,"['Mabrouk El Mechri', 'Mabrouk El Mechri', 'Casting principal']","['Sabrina Ouazani', 'Ramzy Bedia', 'Eye Haidara', 'Tien Shue', 'Lina Hachani', 'Matthieu Burnel', 'Olivia Côte', 'Ali El Mechri Efira', 'Franck Ropers', 'Achref Mazhoud', 'Karim Belkhadra', 'Nang Cao Deo', 'Saïd Benchnafa', 'Mabrouk El Mechri', 'Violaine Papi', 'Marine Dusehu', 'Nabil Terbeche', 'Dayen Benali']",['No budget']
Cyrano,"6,4",15 k,"['Drame', 'Comédie Musicale', 'Romantique']",['Anglais'],"['Royaume-Uni', 'Canada', 'États-Unis']",Tous publics,2h 3min,2021,['No Popularity Score'],Joe Wright,Joe Wright,"['Joe Wright', 'Scénario', 'Erica Schmidt']","['Peter Dinklage', 'Haley Bennett', 'Kelvin Harrison Jr.', 'Ben Mendelsohn', 'Monica Dolan', 'Bashir Salahuddin', 'Joshua James', 'Anjana Vasan', 'Ruth Sheen', 'Glen Hansard', 'Sam Amidon', 'Scott Folan', 'Mark Benton', 'Richard McCabe', 'Peter Wight', 'Tim McMullan', 'Mark Bagnall', 'Mike Shepherd']",30 000 000 $US (estimé)
Au revoir le bonheur,"6,3",259,"['Comédie', 'Drame']",['Français'],['Canada'],Tous publics,1h 47min,2021,['No Popularity Score'],Ken Scott,Ken Scott,"['Ken Scott', 'Ken Scott', 'Casting principal']","['François Arnaud', 'Antoine Bertrand', 'Louis Morissette', 'Patrice Robitaille', 'Julie LeBreton', 'Charlotte Aubin', 'Marilyse Bourke', 'Elizabeth Duperré', 'Geneviève Boivin-Roussy', 'Pierre-Yves Cardinal', 'Clauter Alexandre', 'Bruno Arpin', 'Marcelo Arroyo', 'Benoit Arseneau', 'Daniel Arseneau', 'Fanny Arseneau', 'Léon-Charles Arseneau', 'Béatrice Aubry']",['No budget']
War pony,"6,8","2,5 k","['Policier', 'Drame']","['Anglais', 'Sioux']","['États-Unis', 'Royaume-Uni']",Tous publics,1h 55min,2022,['No Popularity Score'],Gina Gammell,Gina Gammell,"['Gina Gammell', 'Riley Keough', 'Scénario']","['Anjeliq Aurora', 'Sean Baker', 'Iona Red Bear', 'Jessica Poor Bear', 'Norma Blacksmith', 'Schaevon Brewer', 'Sharay Brewer', 'Jennifer Yellow Bull', 'Macario Long Black Cat', 'Ta-Yamni Long Black Cat', 'Wakinyan Long Black Cat', 'Jonathan Center', 'Wilma Colhof', 'Katrina Colhoff', 'Teressa Shangreaux Colhoff', 'Coco Coomes', 'Calista Rae Cottier', 'Jeremy Corbin Cottier']",['No budget']
5ème set,"6,5","1,4 k","['Drame', 'Sport']",['Français'],['France'],Tous publics,1h 45min,2020,['No Popularity Score'],Quentin Reynaud,Quentin Reynaud,"['Quentin Reynaud', 'Quentin Reynaud', 'Casting principal']","['Alex Lutz', 'Ana Girardot', 'Kristin Scott Thomas', 'Jürgen Briand', 'Tariq Bettahar', 'Quentin Reynaud', 'Damien Gouy', 'Victor Ouvrard', 'Yanaïs Laurent', 'Leny Mitjana', 'Hervé Pauchon', 'Alexandre Blazy', 'Fabienne Galula', 'Carine Ribert', 'Thierry de Carbonnières', 'Laurent Marion', 'Renaud Bordier', 'Laurent Laffite']",['No budget']
J'y crois encore,"6,5",14 k,"['Biographique', 'Drame', 'Musical']",['Anglais'],['États-Unis'],Tous publics,1h 56min,2020,['No Popularity Score'],Andrew Erwin,Andrew Erwin,"['Andrew Erwin', 'Jon Erwin', 'Jeremy Camp']","['K.J. Apa', 'Britt Robertson', 'Nathan Parsons', 'Gary Sinise', 'Shania Twain', 'Reuben Dodd', 'Nicolas Bechtel', 'Melissa Roxburgh', 'Terry Serpico', 'Tanya Christiansen', 'Cameron Arnett', 'Abigail Cowen', 'Rushi Birudala', 'Anjelah Johnson-Reyes', 'Mike McGill', 'Sahjanan Nasser', 'Alex Taylor', 'Alyssa Gonzalez']",12 000 000 $US (estimé)
Un vrai bonhomme,"6,4",359,"['Comédie', 'Drame']",['Français'],"['France', 'Belgique']",Tous publics,1h 28min,2019,['No Popularity Score'],Benjamin Parent,Benjamin Parent,"['Benjamin Parent', 'Scénario', 'Benjamin Parent']","['Thomas Guy', 'Benjamin Voisin', 'Isabelle Carré', 'Laurent Lucas', 'Nils Othenin-Girard', 'Tasnim Jamlaoui', 'Guillaume Arnault', 'Mohamed Seddiki', 'Sami Outalbali', 'Léa Rostain', 'Mahia Zrouki', 'Eric Boucher', 'Joséphine Draï', 'Pierre Benezit', 'Bruno Sanches', 'Adeline Chagneau', 'Delphine Baril', 'Andranic Manet']",['No budget']
The King's Daughter,"5,1",6 k,"['Action', 'Aventure', 'Famille']",['Anglais'],"['Australie', 'États-Unis', 'Chine', 'France', 'Hong Kong', 'Royaume-Uni']",PG,1h 38min,2022,3 709,Sean McNamara,Sean McNamara,"['Sean McNamara', 'Barry Berman', 'James Schamus']","['Pierce Brosnan', 'Kaya Scodelario', 'William Hurt', 'Benjamin Walker', 'Pablo Schreiber', 'Ben Lloyd-Hughes', 'Rachel Griffiths', 'Crystal Clarke', 'Paul Ireland', 'Bingbing Fan', 'Terry Norris', 'Arthur Angel', 'Anja Fougea', 'Kaya Blocksage', 'Kasia Kaczmarek', 'Jessica Clarke', 'Mark Antoine', 'Tiffany Hofstetter']",40 500 000 $US (estimé)
Le tigre et le président,"6,1",272,"['Comédie', 'Historique']",['Français'],"['France', 'Belgique']",Tous publics,1h 38min,2022,['No Popularity Score'],Jean-Marc Peyrefitte,Jean-Marc Peyrefitte,"['Jean-Marc Peyrefitte', 'Scénario', 'Jean-Marc Peyrefitte']","['Jacques Gamblin', 'André Dussollier', 'Christian Hecq', 'Anna Mouglalis', 'Cyril Couton', 'Astrid Whettnall', 'Lola Naymark', 'Laura Benson', 'Marie Elisabeth Cornet', ""Patrick d'Assumçao"", 'Alexandre von Sivers', 'Olivier Claverie', 'Ricky Tribord', 'Benjamin Lhommas', 'Vincent Martin', 'Bruce McEwen', 'Jorg Schnass', 'Christophe Canard']",['No budget']
Rendez-vous à Tokyo,"6,8",583,['Romantique'],['Japonais'],['Japon'],Tous publics,1h 55min,2021,['No Popularity Score'],Daigo Matsui,Daigo Matsui,"['Daigo Matsui', 'Casting principal', 'Sôsuke Ikematsu']","['Sôsuke Ikematsu', 'Sairi Itô', 'Kalen Anzai', 'Toshiki Hirose', 'Miwako Ichikawa', 'Tomohiro Kaku', 'Misuzu Kanno', 'Yumi Kawai', 'Eiko Koike', 'Jun Kunimura', 'Yûya Matsuura', 'Masatoshi Nagase', 'Ryo Narita', 'Reika Oozeki', 'Sekaikan Ozaki', 'Tongnan Qiu', 'Ito Sairi', 'Kiyohiko Shibukawa']",['No budget']
Los reyes del mundo,"7,0","2,2 k","['Aventure', 'Drame']",['Espagnol'],"['Colombie', 'Luxembourg', 'France', 'Mexique', 'Norvège']",TV-MA,1h 43min,2022,['No Popularity Score'],Laura Mora Ortega,Laura Mora Ortega,"['Laura Mora Ortega', 'Maria Camila Arias', 'Laura Mora Ortega']","['Carlos Andrés Castañeda', 'Davison Florez', 'Brahian Acevedo', 'Cristian Campaña', 'Cristian David Duque', 'Jacqueline Duque', 'Luis Eduardo Benjumea', 'Violeta Zabala', 'Esteher Posada Arias', 'Maria Adela Villa']",['No budget']
Viens je t'emmène,"6,2",718,"['Comédie', 'Drame']",['Français'],"['France', 'Belgique']",Tous publics avec avertissement,1h 40min,2022,['No Popularity Score'],Alain Guiraudie,Alain Guiraudie,"['Alain Guiraudie', 'Alain Guiraudie', 'Laurent Lunetta']","['Jean-Charles Clichet', 'Noémie Lvovsky', 'Ilies Kadri', 'Michel Masiero', 'Doria Tillier', 'Renaud Rutten', 'Philippe Fretun', 'Farida Rahouadj', 'Miveck Packa', 'Yves-Robert Viala', 'Patrick Ligardes', 'Sami Outalbali', 'Nabil Kechouhen', 'Mathéo Ahounou', 'Ramzan Akhmadov', 'Amine Daoudi', 'Akhmed Bakraev', 'Robin Bourien']",['No budget']
Titre non trouvé,0,0,['No kind'],['No Language'],['No Country'],No Pegi,0,0,['No Popularity Score'],['No Director'],['No Writers'],['No Casting'],['No Casting'],['No budget']
Les repentis,"7,1","3,4 k","['Biographique', 'Drame']","['Espagnol', 'Basque']",['Espagne'],1h 55min,0,2021,['No Popularity Score'],Icíar Bollaín,Icíar Bollaín,"['Icíar Bollaín', 'Isa Campo', 'Icíar Bollaín']","['Blanca Portillo', 'Luis Tosar', 'María Cerezuela', 'Urko Olazabal', 'Tamara Canosa', 'María Jesús Hoyos', 'Arantxa Aranguren', 'Bruno Sevilla', 'Josu Ormaetxe', 'Martxelo Rubio', 'Ibon Belandia', 'Arkaitz Gartziandia', 'Iñigo Larrinaga', 'Gorka Zuazua', 'Félix Arcarazo', 'Gorka Mínguez', 'Mikel Bustamante', 'Patxo Telleria']",['No budget']
Ron débloque,"7,1",40 k,"['Animation', 'Aventure', 'Comédie']",['Anglais'],"['États-Unis', 'Royaume-Uni', 'Inde']",Tous publics,1h 47min,2021,['No Popularity Score'],Sarah Smith,Sarah Smith,"['Sarah Smith', 'Jean-Philippe Vine', 'Octavio E. Rodriguez']","['Jack Dylan Grazer', 'Zach Galifianakis', 'Ed Helms', 'Olivia Colman', 'Rob Delaney', 'Justice Smith', 'Kylie Cantrall', 'Ricardo Hurtado', 'Cullen McCarthy', 'Ava Morse', 'Marcus Scribner', 'Thomas Barbusca', 'Sarah Miller', 'Bentley Kalu', 'Krupa Pattani', 'John Macmillan', 'Megan Maczko', 'Ruby Wax']",['No budget']
Vive les vacances,"6,1",121 k,"['Aventure', 'Comédie']",['Anglais'],['États-Unis'],Tous publics,1h 39min,2015,1 022,John Francis Daley,John Francis Daley,"['John Francis Daley', 'Jonathan Goldstein', 'Jonathan Goldstein']","['Ed Helms', 'Christina Applegate', 'Skyler Gisondo', 'Steele Stebbins', 'Chris Hemsworth', 'Leslie Mann', 'Chevy Chase', ""Beverly D'Angelo"", 'Charlie Day', 'Catherine Missal', 'Ron Livingston', 'Norman Reedus', 'Keegan-Michael Key', 'Regina Hall', 'Emyri Crutchfield', 'Alkoya Brunson', 'Nick Kroll', 'Tim Heidecker']",31 000 000 $US (estimé)
Indiana Jones et la dernière croisade,"8,2",810 k,"['Action', 'Aventure']","['Anglais', 'Allemand', 'Grec', 'Latin', 'Italien']",['États-Unis'],Tous publics,2h 7min,1989,1 111,Steven Spielberg,Steven Spielberg,"['Steven Spielberg', 'Scénario', 'Jeffrey Boam']","['Harrison Ford', 'Sean Connery', 'Alison Doody', 'Denholm Elliott', 'John Rhys-Davies', 'Julian Glover', 'River Phoenix', 'Michael Byrne', 'Kevork Malikyan', 'Robert Eddison', 'Richard Young', 'Alexei Sayle', 'Alex Hyde-White', 'Paul Maxwell', 'Isla Blair', 'Vernon Dobtcheff', 'J.J. Hardy', 'Bradley Gregg']",48 000 000 $US (estimé)
My Son,"6,0",16 k,"['Policier', 'Drame', 'Mystère']","['Anglais', 'Gaélique']","['Royaume-Uni', 'France', 'Allemagne']",Tous publics avec avertissement,1h 35min,2021,3 327,Christian Carion,Christian Carion,"['Christian Carion', 'Christian Carion', 'Laure Irrmann']","['James McAvoy', 'Claire Foy', 'Tom Cullen', 'Gary Lewis', 'Michael Moreland', 'Robert Jack', 'Owen Whitelaw', 'Paul Rattray', 'Toni Frutin', 'Rosalind Sydney', 'Paul Stirrat', 'Andrew John Tait', 'Max Wilson', 'Mark Barrett', 'Megan Daynes', 'Jamie Michie']",['No budget']
Le Secret des Perlims,"6,7",170,['Animation'],['Portugais'],['Brésil'],TV-PG,1h 15min,2022,['No Popularity Score'],Alê Abreu,Alê Abreu,"['Alê Abreu', 'Alê Abreu', 'Viviane Guimarães']","['Lorenzo Tarantelli', 'Giulia Benite', 'Stênio Garcia', 'Nill Marcondes', 'Rosa Rosah']",['No budget']
Le Monde d'hier,"5,2",363,['Drame'],['Français'],['France'],Tous publics,1h 29min,2022,['No Popularity Score'],Diastème,Diastème,"['Diastème', 'Scénario', 'Gérard Davet']","['Léa Drucker', 'Denis Podalydès', 'Alban Lenoir', 'Benjamin Biolay', 'Jacques Weber', 'Thierry Godard', 'Emma de Caunes', 'Jeanne Rosa', 'Frédéric Andrau', 'Yannick Renier', 'Luna Lou', 'Andréa Brusque', 'David Faure', 'Ludivine de Chastenet', 'Olivier Jahan', 'Tewfik Snoussi', 'Tangi Merien', 'Elisa Sommet']",['No budget']
Jacky Caillou,"5,9",146,"['Thriller', 'Fantastique', 'Drame']",['No Language'],['France'],Tous publics,1h 32min,2022,['No Popularity Score'],Lucas Delangle,Lucas Delangle,"['Lucas Delangle', 'Lucas Delangle', 'Olivier Strauss']","['Thomas Parigi', 'Edwige Blondiau', 'Lou Lampros', ""Jean-Louis Coulloc'h"", 'Romain Laguna', 'Georges Isnard', 'Sivan Garavagno', 'Jean-Marc Ravera']",['No budget']
My Hero Academia: World Heroes' Mission,"7,1","5,5 k","['Animation', 'Action', 'Aventure']",['Japonais'],['Japon'],PG-13,1h 41min,2021,['No Popularity Score'],Kenji Nagasaki,Kenji Nagasaki,"['Kenji Nagasaki', 'Kôhei Horikoshi', 'Yôsuke Kuroda']","['Daiki Yamashita', 'Nobuhiko Okamoto', 'Yûki Kaji', 'Tetsu Inada', 'Yûichi Nakamura', 'Yoshimasa Hosoya', 'Ryô Yoshizawa', 'Arisa Sekine', 'Megumi Hayashibara', 'Yoko Honna', 'Kazuya Nakai', 'Mariya Ise', 'Yûichirô Umehara', 'Junya Enoki', 'Shogo Sakata', 'Yuki Hayashi', 'Hirofumi Nojima', 'Takumu Miyazono']",['No budget']
Les Aventures de Ricky,"5,1",284,"['Animation', 'Aventure', 'Famille']",['Anglais'],"['Allemagne', 'Belgique', 'Norvège']",Tous publics,1h 24min,2023,['No Popularity Score'],Benjamin Quabeck,Benjamin Quabeck,"['Benjamin Quabeck', 'Mette Tange', 'Scénario']","['Jay Myers', 'Kyra Jackson', 'Simona Berman', 'Blake Farha', 'Jeffrey Hylton', 'Tim Heller', 'Jonathan Failla', 'Mala Ghedia', 'Dulcie Smart', 'Amalia Hohl', 'Erik Hansen', 'Monica Solem', 'Viktor Pavel', 'Philippe Zeidler', 'Robin Marienfeld', 'Liam Mockridge', 'Vera Bunk', 'Anna-Maria Bednarzik']",['No budget']
Project Wolf Hunting,"6,0","6,8 k","['Action', 'Policier', 'Horreur']","['Coréen', 'Japonais', 'Philippin', 'Anglais']",['Corée du Sud'],16,2h 2min,2022,['No Popularity Score'],Kim Hong Sun,Kim Hong Sun,"['Kim Hong Sun', 'Kim Hong Sun', 'Casting principal']","['Seo In-Guk', 'Jang Dong-yoon', 'Jung So-min', 'Choi Gwi-hwa', 'Sung Dong-il', 'Park Ho-san', 'Ko Chang-seok', 'Jang Young-Nam', 'Son Jong-hak', 'Lee Sung-wook', 'Jung Moon-sung', 'Hong Ji-yoon', 'Richard Barcenas', 'Park Bong-Joon', 'Kim Chan-Hyung', 'Kim Gi-chang', 'Alice Himora', 'Alex Hom']",12 000 000 000 ₩ (estimé)
After Yang,"6,7",23 k,"['Drame', 'Science-fiction']",['Anglais'],['États-Unis'],Tous publics,1h 36min,2021,3 853,Kogonada,Kogonada,"['Kogonada', 'Alexander Weinstein', 'Kogonada']","['Colin Farrell', 'Jodie Turner-Smith', 'Malea Emma Tjandrawidjaja', 'Justin H. Min', 'Orlagh Cassidy', 'Ritchie Coster', 'Sarita Choudhury', 'Clifton Collins Jr.', 'Ava DeMary', 'Adeline Kerns', 'Ansley Kerns', 'Haley Lu Richardson', 'Lee Wong', 'Brett Dier', 'Eve Lindley', 'Nana Mensah', 'An-Li Bogan', 'Deborah Hedwall']",['No budget']
Les sorcières d'Akelarre,"6,4","5,8 k","['Drame', 'Historique']","['Espagnol', 'Basque']","['Espagne', 'France', 'Argentine']",Tous publics avec avertissement,1h 32min,2020,['No Popularity Score'],Pablo Agüero,Pablo Agüero,"['Pablo Agüero', 'Pablo Agüero', 'Katell Guillou']","['Amaia Aberasturi', 'Alex Brendemühl', 'Daniel Fanego', 'Garazi Urkola', 'Yune Nogueiras', 'Jone Laspiur', 'Irati Saez de Urabain', 'Lorea Ibarra', 'Asier Oruesagasti', 'Elena Uriz', 'Jeanne Insausti', 'Daniel Chamorro', 'Iñigo de la Iglesia', 'Ulises Di Roma', 'Amalia Robin', 'Amaia Azkue', 'Teresa Achalandabaso', 'Cristina Yélamos']",2 500 000 € (estimé)
Infiltrée,"6,6",170,"['Drame', 'Thriller']",['Espagnol'],"['Guatemala', 'États-Unis', 'Mexique']",Tous publics avec avertissement,2h 5min,2021,['No Popularity Score'],Justin Lerner,Justin Lerner,"['Justin Lerner', 'Justin Lerner', 'Casting principal']","['Karen Martínez', 'Rudy Rodriguez', 'Pamela Martínez', 'Brandon López', 'Juan Pablo Olyslager', 'René Guirola Patzán', 'Alex Ramos']",['No budget']
La proie d'une ombre,"6,5",67 k,"['Horreur', 'Mystère', 'Thriller']",['Anglais'],"['Royaume-Uni', 'États-Unis']",12,1h 47min,2020,2 573,David Bruckner,David Bruckner,"['David Bruckner', 'Ben Collins', 'Luke Piotrowski']","['Rebecca Hall', 'Sarah Goldberg', 'Vondie Curtis-Hall', 'Evan Jonigkeit', 'Stacy Martin', 'David Abeles', 'Christina Jackson', 'Patrick Klein', 'Crystal Swann', 'Catherine Weidner', 'Laura Austin', 'Jacob Garrett White', 'Samantha Buck', 'Lydia Hand', 'Lea Enslin', 'Amy Zubieta', 'Allie McCulloch', 'Amber Anne']",['No budget']
Ailleurs si j'y suis,"5,5",92,"['Comédie', 'Drame']",['Français'],"['Belgique', 'Luxembourg', 'Suisse']",1h 43min,0,2022,['No Popularity Score'],François Pirot,François Pirot,"['François Pirot', 'François Pirot', 'Casting principal']","['Jérémie Renier', 'Suzanne Clément', 'Samir Guesmi', 'Jean-Luc Bideau', 'Jackie Berroyer', 'Joël Delsaut', 'Nilton Martins', 'Jérôme Varanfrain', 'Amélie Peterli', 'Gwen Berrou', 'Lazare Gousseau', 'Annette Schlechter', 'Sébastien Waroquier', 'Bérangère Mc Neese', 'Stéphane Auberghen', 'Michael Fromowicz', 'Dominique Baeyens', 'Jacqueline Bollen']",['No budget']
